,A,B,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,SCL,EDA
83,a1,b2,0.3333333333333333,43.110857556285154,0.03747909236255234,29.4529501721055,77.18358818225471,1302.491875517316,1.7988904951265876,0.2946164181460395,0.2765155900505034
98,a1,b2,0.43333333333333335,48.21670071631046,0.04181990834888113,30.481818873544906,79.98783878989225,1381.5409298778281,1.5406713106514491,0.2789151552624868,0.2697607001160315
113,a1,b2,0.3333333333333333,44.54625557748185,0.040616155976629736,29.32026121163843,78.88084615718817,1488.054223199273,1.6065809300692278,0.2663074551263814,0.2560961025049852
128,a1,b2,0.26666666666666666,37.94266104471027,0.035162292660452295,26.48549027686277,79.04003321470593,1074.9365732428332,2.133967599719878,0.2559163860083191,0.2481279890162708
55,a2,b1,0.06666666666666668,28.15141228152814,0.09339609529273374,35.588139063257344,85.79330472944187,1829.3487575127053,3.733744759178528,0.17658210373781064,0.18055277753620652
70,a2,b1,0.2,36.35508153634457,0.09646358778758232,71.83228730533257,67.43398340218685,4650.883953357713,6.410010067393249,0.17859020563493733,0.17890489682767605
85,a2,b1,0.3,46.22471263648347,0.08276105464990798,43.70233459011715,75.92095874096232,2427.100467770458,3.352390479500666,0.18075967874085835,0.1835756122398664
100,a2,b1,0.2333333333333333,42.141827477787906,0.06875464476832521,38.58924885641916,81.70644048223885,1973.4645916528266,2.7178268878259915,0.18277270259169015,0.1860219617579377
115,a2,b1,0.2333333333333333,39.4335006747861,0.05443195014068581,32.27734960039051,74.23949616899469,1786.9266325010535,2.393002152768902,0.18543325505089756,0.18833371286564007
130,a2,b1,0.2,40.66362211679056,0.07044623396300516,40.23947170307508,79.29668065881094,2607.308499378733,2.9237897225241785,0.1872344897630291,0.1868491759057425
145,a2,b1,0.1,33.99753675570061,0.060703058437862986,43.49596426988652,82.34903361098532,2541.599043115116,4.0026909601678415,0.18839188788575406,0.1915426175030704
160,a2,b1,0.13333333333333333,34.29047561239698,0.0382369804087236,25.840279477261628,76.98921455692457,909.3575083381984,2.6560240100889603,0.1899609198021867,0.19100611622828054
175,a2,b1,0.16666666666666666,36.44075422893515,0.039109908868950986,27.080626612794145,80.0394359269407,929.4885220682539,2.8350354246410037,0.19120812815601845,0.1931064077956608
5,a2,b2,0.03333333333333333,25.3708605937422,0.09940107074768263,54.40812953230796,97.0005939891031,2532.425282144132,6.695018001281206,0.22918109917603954,0.22354222424717968
20,a2,b2,0.1,34.972625887138925,0.10637541735491156,58.16280190163519,84.24044625794895,4370.717879480403,4.530871034113737,0.2249073433974149,0.2223386367541836
35,a2,b2,0.1,34.293278148315515,0.0819793929096864,42.35406504262289,87.33249116147387,2881.0880675326184,3.195602495476748,0.2221460048531801,0.22311537806278986
50,a2,b2,0.03333333333333333,21.109048584875996,0.09822409493243343,29.25310276829264,98.08334683763971,1018.9086058383776,4.1686260412739005,0.2203391451310218,0.2192810772805399
65,a2,b2,0.06666666666666668,26.469567429226302,0.0977577050141557,49.048177031777385,83.58586253596411,2554.35816848188,5.326749365621661,0.2192301459560596,0.2134157127077544
80,a2,b2,0.3,39.03789183489326,0.056362879198583064,37.211416898247855,80.62432172009571,1996.120106503624,2.65326178868702,0.2167394380497236,0.21262424501515856
95,a2,b2,0.36666666666666653,41.533313561015696,0.04394124918844071,27.907173300613646,80.46598073557487,1270.2139183683666,1.8333236827248818,0.2137735031050191,0.2117328202947845
110,a2,b2,0.16666666666666666,37.87234300563748,0.034709082092535155,27.337262339523416,81.88665532617429,1016.8092233012864,2.1975518802077216,0.21177481697213046,0.20946025169676816
125,a2,b2,0.36666666666666653,46.09074745415146,0.05470791151433792,34.98028318639409,77.76042643950576,1804.0946046823444,2.434490586505476,0.20963790093891715,0.2051938981488851
