-52,-9,38
-54,-11,33
-53,-10,33
-54,-10,35
-53,-11,34
-52,-11,35
-53,-10,38
-52,-10,38
-51,-10,40
-50,-10,39
-49,-10,39
-49,-10,40
-50,-10,40
-51,-9,39
-51,-9,39
-50,-10,39
-50,-10,39
-50,-10,39
-50,-10,39
-51,-10,38
-51,-10,39
-51,-10,39
-51,-10,38
-51,-10,38
-52,-10,39
-51,-10,39
-51,-10,39
-51,-10,37
-50,-10,38
-51,-10,39
-50,-10,39
-50,-10,39
-50,-10,39
-50,-9,40
-50,-10,40
-50,-10,39
-51,-10,39
-51,-10,38
-51,-10,37
-52,-10,36
-52,-10,37
-52,-10,36
-52,-10,37
-53,-10,37
-52,-10,36
-52,-10,37
-53,-10,35
-53,-10,35
-53,-10,35
-51,-10,38
-52,-10,37
-53,-10,33
-53,-10,33
-55,-10,33
-58,-10,25
-59,-11,20
-63,-11,16
-63,-12,12
-62,-12,13
-62,-12,15
-62,-12,15
-62,-12,14
-61,-13,15
-63,-13,13
-62,-11,14
-64,-11,14
-64,-10,16
-60,-11,20
-61,-10,20
-57,-14,20
-59,-13,18
-57,-13,21
-60,-14,19
-66,-15,6
-62,-15,5
-61,-15,10
-63,-16,4
-62,-17,1
-65,-16,-2
-63,-15,3
-61,-16,14
-63,-15,12
-60,-15,10
-62,-15,12
-60,-15,10
-60,-15,12
-63,-14,12
-63,-15,9
-62,-15,7
-60,-15,10
-60,-15,6
-62,-15,4
-65,-15,2
-64,-15,1
-64,-15,-1
-63,-15,-1
-63,-15,3
-64,-14,4
-65,-13,5
-61,-13,12
-62,-13,11
-61,-14,9
-63,-13,8
-61,-14,9
-62,-14,10
-63,-15,9
-61,-15,9
-61,-15,8
-63,-14,6
-64,-15,4
-64,-15,6
-64,-16,6
-64,-15,4
-56,-12,16
-59,-12,22
-61,-12,13
-60,-12,13
-62,-13,13
-61,-13,13
-62,-13,12
-62,-12,11
-62,-13,12
-62,-13,11
-62,-13,10
-63,-12,9
-62,-13,11
-62,-13,11
-64,-13,6
-61,-13,7
-63,-13,11
-62,-13,7
-68,-9,-1
-64,-14,13
-62,-13,14
-59,-13,11
-63,-12,13
-62,-12,12
-62,-13,12
-62,-13,7
-60,-13,12
-63,-14,13
-64,-15,-1
-66,-16,-1
-75,-15,-1
-69,-11,3
-48,-12,22
-43,-9,45
-47,-10,42
-57,-11,24
-55,-11,24
-61,-11,27
-61,-12,23
-59,-12,15
-63,-13,13
-62,-12,12
